time_s,stage,spindle_command_rpm,feed_command_mm_min,load_proxy_pct,vibration_proxy_g_rms,temperature_proxy_c,surface_roughness_ra_um,evidence_label,advisory_state
0,startup,0,0,12.65,0.126,24.63,,SIMULATED,ELIGIBLE
1,startup,421,21,15.17,0.15,24.78,,SIMULATED,ELIGIBLE
2,startup,842,42,17.54,0.171,24.95,,SIMULATED,ELIGIBLE
3,startup,1263,63,19.65,0.188,25.14,,SIMULATED,ELIGIBLE
4,startup,1684,84,21.44,0.2,25.35,,SIMULATED,ELIGIBLE
5,startup,2105,105,22.9,0.207,25.56,,SIMULATED,ELIGIBLE
6,startup,2526,126,24.08,0.212,25.78,,SIMULATED,ELIGIBLE
7,startup,2947,147,25.07,0.216,26,,SIMULATED,ELIGIBLE
8,startup,3368,168,26.01,0.222,26.22,,SIMULATED,ELIGIBLE
9,startup,3789,189,27.04,0.232,26.44,,SIMULATED,ELIGIBLE
10,startup,4211,211,28.32,0.246,26.66,,SIMULATED,ELIGIBLE
11,startup,4632,232,29.86,0.263,26.88,,SIMULATED,ELIGIBLE
12,startup,5053,253,31.71,0.284,27.11,,SIMULATED,ELIGIBLE
13,startup,5474,274,33.86,0.305,27.35,,SIMULATED,ELIGIBLE
14,startup,5895,295,36.22,0.325,27.6,,SIMULATED,ELIGIBLE
15,startup,6316,316,38.65,0.341,27.87,,SIMULATED,ELIGIBLE
16,startup,6737,337,41.03,0.353,28.15,,SIMULATED,ELIGIBLE
17,startup,7158,358,43.22,0.36,28.44,,SIMULATED,ELIGIBLE
18,startup,7579,379,45.14,0.365,28.73,,SIMULATED,ELIGIBLE
19,startup,8000,400,46.72,0.368,29.02,,SIMULATED,ELIGIBLE
20,steady_cut,8000,400,46.26,0.36,29.29,,SIMULATED,ELIGIBLE
21,steady_cut,8000,400,45.56,0.354,29.54,,SIMULATED,ELIGIBLE
22,steady_cut,8000,400,44.73,0.354,29.77,,SIMULATED,ELIGIBLE
23,steady_cut,8000,400,43.92,0.358,29.97,,SIMULATED,ELIGIBLE
24,steady_cut,8000,400,43.26,0.365,30.16,,SIMULATED,ELIGIBLE
25,steady_cut,8000,400,42.86,0.375,30.33,,SIMULATED,ELIGIBLE
26,steady_cut,8000,400,42.79,0.384,30.5,,SIMULATED,ELIGIBLE
27,steady_cut,8000,400,43.05,0.39,30.66,,SIMULATED,ELIGIBLE
28,steady_cut,8000,400,43.58,0.392,30.82,,SIMULATED,ELIGIBLE
29,steady_cut,8000,400,44.28,0.39,30.99,,SIMULATED,ELIGIBLE
30,steady_cut,8000,400,45.02,0.384,31.16,,SIMULATED,ELIGIBLE
31,steady_cut,8000,400,45.66,0.376,31.33,,SIMULATED,ELIGIBLE
32,steady_cut,8000,400,46.09,0.369,31.5,,SIMULATED,ELIGIBLE
33,steady_cut,8000,400,46.22,0.365,31.66,,SIMULATED,ELIGIBLE
34,steady_cut,8000,400,46.03,0.365,31.81,,SIMULATED,ELIGIBLE
35,steady_cut,8000,400,45.56,0.369,31.94,,SIMULATED,ELIGIBLE
36,steady_cut,8000,400,44.89,0.377,32.06,,SIMULATED,ELIGIBLE
37,steady_cut,8000,400,44.16,0.387,32.16,,SIMULATED,ELIGIBLE
38,steady_cut,8000,400,43.5,0.397,32.25,,SIMULATED,ELIGIBLE
39,steady_cut,8000,400,43.04,0.404,32.32,,SIMULATED,ELIGIBLE
40,steady_cut,8000,400,42.88,0.407,32.38,,SIMULATED,ELIGIBLE
41,steady_cut,8000,400,43.05,0.405,32.44,,SIMULATED,ELIGIBLE
42,steady_cut,8000,400,43.52,0.399,32.5,,SIMULATED,ELIGIBLE
43,steady_cut,8000,400,44.24,0.39,32.56,,SIMULATED,ELIGIBLE
44,steady_cut,8000,400,45.07,0.38,32.63,,SIMULATED,ELIGIBLE
45,steady_cut,8000,400,45.89,0.373,32.7,,SIMULATED,ELIGIBLE
46,steady_cut,8000,400,46.54,0.369,32.77,,SIMULATED,ELIGIBLE
47,steady_cut,8000,400,46.94,0.369,32.84,,SIMULATED,ELIGIBLE
48,steady_cut,8000,400,47.01,0.373,32.91,,SIMULATED,ELIGIBLE
49,steady_cut,8000,400,46.76,0.38,32.97,,SIMULATED,ELIGIBLE
50,feed_step,8000,650,60.63,0.425,33.2,,SIMULATED,ELIGIBLE
51,feed_step,8000,650,59.96,0.431,33.41,,SIMULATED,ELIGIBLE
52,feed_step,8000,650,59.27,0.433,33.6,,SIMULATED,ELIGIBLE
53,feed_step,8000,650,58.69,0.431,33.78,,SIMULATED,ELIGIBLE
54,feed_step,8000,650,58.33,0.425,33.95,,SIMULATED,ELIGIBLE
55,feed_step,8000,650,58.28,0.416,34.11,,SIMULATED,ELIGIBLE
56,feed_step,8000,650,58.55,0.405,34.27,,SIMULATED,ELIGIBLE
57,feed_step,8000,650,59.1,0.397,34.43,,SIMULATED,ELIGIBLE
58,feed_step,8000,650,59.83,0.392,34.59,,SIMULATED,ELIGIBLE
59,feed_step,8000,650,60.61,0.391,34.75,,SIMULATED,ELIGIBLE
60,feed_step,8000,650,61.31,0.395,34.91,,SIMULATED,ELIGIBLE
61,feed_step,8000,650,61.8,0.403,35.07,,SIMULATED,ELIGIBLE
62,feed_step,8000,650,61.99,0.413,35.22,,SIMULATED,ELIGIBLE
63,feed_step,8000,650,61.84,0.421,35.36,,SIMULATED,ELIGIBLE
64,feed_step,8000,650,61.38,0.427,35.49,,SIMULATED,ELIGIBLE
65,feed_step,8000,650,60.69,0.429,35.6,,SIMULATED,ELIGIBLE
66,feed_step,8000,650,59.89,0.427,35.69,,SIMULATED,ELIGIBLE
67,feed_step,8000,650,59.11,0.421,35.77,,SIMULATED,ELIGIBLE
68,feed_step,8000,650,58.49,0.413,35.83,,SIMULATED,ELIGIBLE
69,feed_step,8000,650,58.14,0.407,35.88,,SIMULATED,ELIGIBLE
70,disturbance,8000,650,59.25,0.622,35.94,,SIMULATED,ELIGIBLE
71,disturbance,8000,650,59.63,0.63,36,,SIMULATED,ELIGIBLE
72,disturbance,8000,650,60.44,0.659,36.06,,SIMULATED,ELIGIBLE
73,disturbance,8000,650,61.57,0.705,36.13,,SIMULATED,ELIGIBLE
74,disturbance,8000,650,62.85,0.765,36.21,,SIMULATED,ELIGIBLE
75,disturbance,8000,650,64.09,0.832,36.3,,SIMULATED,ELIGIBLE
76,disturbance,8000,650,65.14,0.901,36.4,,SIMULATED,WITHHELD
77,disturbance,8000,650,65.88,0.966,36.5,,SIMULATED,WITHHELD
78,disturbance,8000,650,66.25,1.022,36.6,,SIMULATED,WITHHELD
79,disturbance,8000,650,66.24,1.066,36.7,,SIMULATED,WITHHELD
80,disturbance,8000,650,65.92,1.095,36.79,,SIMULATED,WITHHELD
81,disturbance,8000,650,65.37,1.109,36.87,,SIMULATED,WITHHELD
82,disturbance,8000,650,64.74,1.11,36.95,,SIMULATED,WITHHELD
83,disturbance,8000,650,64.12,1.098,37.02,,SIMULATED,WITHHELD
84,disturbance,8000,650,63.62,1.074,37.08,,SIMULATED,WITHHELD
85,disturbance,8000,650,63.28,1.041,37.13,,SIMULATED,WITHHELD
86,disturbance,8000,650,63.11,0.998,37.18,,SIMULATED,WITHHELD
87,disturbance,8000,650,63.07,0.947,37.23,,SIMULATED,WITHHELD
88,disturbance,8000,650,63.08,0.891,37.28,,SIMULATED,WITHHELD
89,disturbance,8000,650,63.05,0.831,37.32,,SIMULATED,ELIGIBLE
90,disturbance,8000,650,62.9,0.771,37.36,,SIMULATED,ELIGIBLE
91,disturbance,8000,650,62.58,0.715,37.39,,SIMULATED,ELIGIBLE
92,disturbance,8000,650,62.09,0.667,37.41,,SIMULATED,ELIGIBLE
93,disturbance,8000,650,61.46,0.633,37.42,,SIMULATED,ELIGIBLE
